rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
2965.0,How <b>happy</b> are you right now?,0.6401869158878505,9NXGw8ADeLTW37tM81eueN0Amnd2,9NXGw8ADeLTW37tM81eueN0Amnd2,delaylearn,survey,lmdlab-html-vas-response,42,500310,0.0-42.0-0.0,,,,5ee5defbfe74a3000d106f51,13:50:47,06/03/2024
1834.5,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,9NXGw8ADeLTW37tM81eueN0Amnd2,9NXGw8ADeLTW37tM81eueN0Amnd2,delaylearn,survey,html-keyboard-response,43,502147,0.0-42.0-1.0,,,,5ee5defbfe74a3000d106f51,13:50:47,06/03/2024
3025.699999999255,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,9NXGw8ADeLTW37tM81eueN0Amnd2,9NXGw8ADeLTW37tM81eueN0Amnd2,delaylearn,survey,lmdlab-rest-trial-limit,44,505676,0.0-42.0-2.0,0.0,,,5ee5defbfe74a3000d106f51,13:50:47,06/03/2024
5808.0,,"{""Q0"":""Average""}",9NXGw8ADeLTW37tM81eueN0Amnd2,9NXGw8ADeLTW37tM81eueN0Amnd2,delaylearn,survey,lmdlab-evan-quiz,45,512745,0.0-42.0-3.0,,[2],memory,5ee5defbfe74a3000d106f51,13:50:47,06/03/2024
2607.0,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.9548408294392523,9NXGw8ADeLTW37tM81eueN0Amnd2,9NXGw8ADeLTW37tM81eueN0Amnd2,delaylearn,survey,lmdlab-html-vas-response,46,516359,0.0-42.0-4.0,,,engagement1,5ee5defbfe74a3000d106f51,13:50:47,06/03/2024
4879.0,,"{""Q0"":""Yes""}",9NXGw8ADeLTW37tM81eueN0Amnd2,9NXGw8ADeLTW37tM81eueN0Amnd2,delaylearn,survey,lmdlab-evan-quiz,47,522494,0.0-42.0-5.0,,[0],engagement2,5ee5defbfe74a3000d106f51,13:50:47,06/03/2024
2812.0999999996275,,{'Q0': 'None'},9NXGw8ADeLTW37tM81eueN0Amnd2,9NXGw8ADeLTW37tM81eueN0Amnd2,delaylearn,survey,lmdlab-survey-text,48,526061,0.0-42.0-6.0,,,engagement3,5ee5defbfe74a3000d106f51,13:50:47,06/03/2024
4876.0,,"{""Q0"":""Same room + Same computer""}",9NXGw8ADeLTW37tM81eueN0Amnd2,9NXGw8ADeLTW37tM81eueN0Amnd2,delaylearn,survey,lmdlab-evan-quiz,49,532194,0.0-42.0-7.0,,[0],environment1,5ee5defbfe74a3000d106f51,13:50:47,06/03/2024
21513.099999999627,,"{'Q0': ""I can't think of anything to be honest, it was a different unique experiment in anything that I have been involved with before. ""}",9NXGw8ADeLTW37tM81eueN0Amnd2,9NXGw8ADeLTW37tM81eueN0Amnd2,delaylearn,survey,lmdlab-survey-text,50,554461,0.0-42.0-8.0,,,comment1,5ee5defbfe74a3000d106f51,13:50:47,06/03/2024
1814.9000000003725,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,9NXGw8ADeLTW37tM81eueN0Amnd2,9NXGw8ADeLTW37tM81eueN0Amnd2,delaylearn,survey,html-keyboard-response,206,1032510,0.0-44.0-0.0,,,,5ee5defbfe74a3000d106f51,13:50:47,06/03/2024
3056.0,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.5638629283489096,9NXGw8ADeLTW37tM81eueN0Amnd2,9NXGw8ADeLTW37tM81eueN0Amnd2,delaylearn,survey,lmdlab-html-vas-response,207,1037075,0.0-44.0-1.0,,,state_stress,5ee5defbfe74a3000d106f51,13:50:47,06/03/2024
2630.0,,"{""Q0"":""Good""}",9NXGw8ADeLTW37tM81eueN0Amnd2,9NXGw8ADeLTW37tM81eueN0Amnd2,delaylearn,survey,lmdlab-evan-quiz,208,1040960,0.0-44.0-2.0,,[1],sleep1,5ee5defbfe74a3000d106f51,13:50:47,06/03/2024
2162.0,,"{""Q0"":""Average""}",9NXGw8ADeLTW37tM81eueN0Amnd2,9NXGw8ADeLTW37tM81eueN0Amnd2,delaylearn,survey,lmdlab-evan-quiz,209,1043878,0.0-44.0-3.0,,[2],sleep2,5ee5defbfe74a3000d106f51,13:50:47,06/03/2024
1960.0,,"{""Q0"":""Average""}",9NXGw8ADeLTW37tM81eueN0Amnd2,9NXGw8ADeLTW37tM81eueN0Amnd2,delaylearn,survey,lmdlab-evan-quiz,210,1046593,0.0-44.0-4.0,,[2],sleep3,5ee5defbfe74a3000d106f51,13:50:47,06/03/2024
