rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
8314,How <b>happy</b> are you right now?,0.5694444444444444,edpiWEagaagMwkYaqGGdXyn6Z2s1,edpiWEagaagMwkYaqGGdXyn6Z2s1,delaylearn,survey,lmdlab-html-vas-response,45,510773,0.0-45.0-0.0,,,,63ed0a8a65ddbf9edae99a16,17:35:00,03/04/2024
2430,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,edpiWEagaagMwkYaqGGdXyn6Z2s1,edpiWEagaagMwkYaqGGdXyn6Z2s1,delaylearn,survey,html-keyboard-response,46,513206,0.0-45.0-1.0,,,,63ed0a8a65ddbf9edae99a16,17:35:00,03/04/2024
4304,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,edpiWEagaagMwkYaqGGdXyn6Z2s1,edpiWEagaagMwkYaqGGdXyn6Z2s1,delaylearn,survey,lmdlab-rest-trial-limit,47,518025,0.0-45.0-2.0,0.0,,,63ed0a8a65ddbf9edae99a16,17:35:00,03/04/2024
22112,,"{""Q0"":""Average""}",edpiWEagaagMwkYaqGGdXyn6Z2s1,edpiWEagaagMwkYaqGGdXyn6Z2s1,delaylearn,survey,lmdlab-evan-quiz,48,541417,0.0-45.0-3.0,,[2],memory,63ed0a8a65ddbf9edae99a16,17:35:00,03/04/2024
10221,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.9876543209876543,edpiWEagaagMwkYaqGGdXyn6Z2s1,edpiWEagaagMwkYaqGGdXyn6Z2s1,delaylearn,survey,lmdlab-html-vas-response,49,552652,0.0-45.0-4.0,,,engagement1,63ed0a8a65ddbf9edae99a16,17:35:00,03/04/2024
5687,,"{""Q0"":""Yes""}",edpiWEagaagMwkYaqGGdXyn6Z2s1,edpiWEagaagMwkYaqGGdXyn6Z2s1,delaylearn,survey,lmdlab-evan-quiz,50,559618,0.0-45.0-5.0,,[0],engagement2,63ed0a8a65ddbf9edae99a16,17:35:00,03/04/2024
22016,,{'Q0': 'I did not experience any instances of inattention or distraction. '},edpiWEagaagMwkYaqGGdXyn6Z2s1,edpiWEagaagMwkYaqGGdXyn6Z2s1,delaylearn,survey,lmdlab-survey-text,51,582454,0.0-45.0-6.0,,,engagement3,63ed0a8a65ddbf9edae99a16,17:35:00,03/04/2024
20037,,"{""Q0"":""Same room + Same computer""}",edpiWEagaagMwkYaqGGdXyn6Z2s1,edpiWEagaagMwkYaqGGdXyn6Z2s1,delaylearn,survey,lmdlab-evan-quiz,52,603750,0.0-45.0-7.0,,[0],environment1,63ed0a8a65ddbf9edae99a16,17:35:00,03/04/2024
100360,,{'Q0': 'I found all of it clear and well thought out to cover all bases. I enjoyed trying to recollect which ones were luckier when comparing against other images as I found it properly tested my memory. '},edpiWEagaagMwkYaqGGdXyn6Z2s1,edpiWEagaagMwkYaqGGdXyn6Z2s1,delaylearn,survey,lmdlab-survey-text,53,704863,0.0-45.0-8.0,,,comment1,63ed0a8a65ddbf9edae99a16,17:35:00,03/04/2024
5330,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,edpiWEagaagMwkYaqGGdXyn6Z2s1,edpiWEagaagMwkYaqGGdXyn6Z2s1,delaylearn,survey,html-keyboard-response,209,1385483,0.0-47.0-0.0,,,,63ed0a8a65ddbf9edae99a16,17:35:00,03/04/2024
16829,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.2376800348729263,edpiWEagaagMwkYaqGGdXyn6Z2s1,edpiWEagaagMwkYaqGGdXyn6Z2s1,delaylearn,survey,lmdlab-html-vas-response,210,1403835,0.0-47.0-1.0,,,state_stress,63ed0a8a65ddbf9edae99a16,17:35:00,03/04/2024
10990,,"{""Q0"":""Poor""}",edpiWEagaagMwkYaqGGdXyn6Z2s1,edpiWEagaagMwkYaqGGdXyn6Z2s1,delaylearn,survey,lmdlab-evan-quiz,211,1416107,0.0-47.0-2.0,,[3],sleep1,63ed0a8a65ddbf9edae99a16,17:35:00,03/04/2024
12343,,"{""Q0"":""Less""}",edpiWEagaagMwkYaqGGdXyn6Z2s1,edpiWEagaagMwkYaqGGdXyn6Z2s1,delaylearn,survey,lmdlab-evan-quiz,212,1429209,0.0-47.0-3.0,,[3],sleep2,63ed0a8a65ddbf9edae99a16,17:35:00,03/04/2024
15021,,"{""Q0"":""Average""}",edpiWEagaagMwkYaqGGdXyn6Z2s1,edpiWEagaagMwkYaqGGdXyn6Z2s1,delaylearn,survey,lmdlab-evan-quiz,213,1444993,0.0-47.0-4.0,,[2],sleep3,63ed0a8a65ddbf9edae99a16,17:35:00,03/04/2024
