rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
4356.0,How <b>happy</b> are you right now?,0.625,JIBbBQ2M5zL1Rbyl1toX4RSjR982,JIBbBQ2M5zL1Rbyl1toX4RSjR982,delaylearn,survey,lmdlab-html-vas-response,45,433597,0.0-45.0-0.0,,,,5ed8162f9883863100f36190,15:21:20,03/04/2024
2063.9000000953674,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,JIBbBQ2M5zL1Rbyl1toX4RSjR982,JIBbBQ2M5zL1Rbyl1toX4RSjR982,delaylearn,survey,html-keyboard-response,46,435662,0.0-45.0-1.0,,,,5ed8162f9883863100f36190,15:21:20,03/04/2024
3991.399999976158,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,JIBbBQ2M5zL1Rbyl1toX4RSjR982,JIBbBQ2M5zL1Rbyl1toX4RSjR982,delaylearn,survey,lmdlab-rest-trial-limit,47,440157,0.0-45.0-2.0,0.0,,,5ed8162f9883863100f36190,15:21:20,03/04/2024
7296.0,,"{""Q0"":""Average""}",JIBbBQ2M5zL1Rbyl1toX4RSjR982,JIBbBQ2M5zL1Rbyl1toX4RSjR982,delaylearn,survey,lmdlab-evan-quiz,48,448723,0.0-45.0-3.0,,[2],memory,5ed8162f9883863100f36190,15:21:20,03/04/2024
3464.0,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.6111111111111112,JIBbBQ2M5zL1Rbyl1toX4RSjR982,JIBbBQ2M5zL1Rbyl1toX4RSjR982,delaylearn,survey,lmdlab-html-vas-response,49,453205,0.0-45.0-4.0,,,engagement1,5ed8162f9883863100f36190,15:21:20,03/04/2024
4431.0,,"{""Q0"":""Yes""}",JIBbBQ2M5zL1Rbyl1toX4RSjR982,JIBbBQ2M5zL1Rbyl1toX4RSjR982,delaylearn,survey,lmdlab-evan-quiz,50,458893,0.0-45.0-5.0,,[0],engagement2,5ed8162f9883863100f36190,15:21:20,03/04/2024
16697.0,,"{'Q0': ""Didn't have any""}",JIBbBQ2M5zL1Rbyl1toX4RSjR982,JIBbBQ2M5zL1Rbyl1toX4RSjR982,delaylearn,survey,lmdlab-survey-text,51,476356,0.0-45.0-6.0,,,engagement3,5ed8162f9883863100f36190,15:21:20,03/04/2024
9016.0,,"{""Q0"":""Same room + Same computer""}",JIBbBQ2M5zL1Rbyl1toX4RSjR982,JIBbBQ2M5zL1Rbyl1toX4RSjR982,delaylearn,survey,lmdlab-evan-quiz,52,486653,0.0-45.0-7.0,,[0],environment1,5ed8162f9883863100f36190,15:21:20,03/04/2024
26975.699999928474,,"{'Q0': 'Everything was clear, hopefully I helped with your research'}",JIBbBQ2M5zL1Rbyl1toX4RSjR982,JIBbBQ2M5zL1Rbyl1toX4RSjR982,delaylearn,survey,lmdlab-survey-text,53,514387,0.0-45.0-8.0,,,comment1,5ed8162f9883863100f36190,15:21:20,03/04/2024
2262.7999999523163,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,JIBbBQ2M5zL1Rbyl1toX4RSjR982,JIBbBQ2M5zL1Rbyl1toX4RSjR982,delaylearn,survey,html-keyboard-response,209,1033713,0.0-47.0-0.0,,,,5ed8162f9883863100f36190,15:21:20,03/04/2024
6800.0,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.5077401620370371,JIBbBQ2M5zL1Rbyl1toX4RSjR982,JIBbBQ2M5zL1Rbyl1toX4RSjR982,delaylearn,survey,lmdlab-html-vas-response,210,1042024,0.0-47.0-1.0,,,state_stress,5ed8162f9883863100f36190,15:21:20,03/04/2024
3570.0,,"{""Q0"":""Average""}",JIBbBQ2M5zL1Rbyl1toX4RSjR982,JIBbBQ2M5zL1Rbyl1toX4RSjR982,delaylearn,survey,lmdlab-evan-quiz,211,1046861,0.0-47.0-2.0,,[2],sleep1,5ed8162f9883863100f36190,15:21:20,03/04/2024
8667.0,,"{""Q0"":""Average""}",JIBbBQ2M5zL1Rbyl1toX4RSjR982,JIBbBQ2M5zL1Rbyl1toX4RSjR982,delaylearn,survey,lmdlab-evan-quiz,212,1056290,0.0-47.0-3.0,,[2],sleep2,5ed8162f9883863100f36190,15:21:20,03/04/2024
2223.0,,"{""Q0"":""Poor""}",JIBbBQ2M5zL1Rbyl1toX4RSjR982,JIBbBQ2M5zL1Rbyl1toX4RSjR982,delaylearn,survey,lmdlab-evan-quiz,213,1059268,0.0-47.0-4.0,,[3],sleep3,5ed8162f9883863100f36190,15:21:20,03/04/2024
