rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
3719.0,How <b>happy</b> are you right now?,0.5037037037037037,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,delaylearn,survey,lmdlab-html-vas-response,45,361290,0.0-45.0-0.0,,,,5996f25a05a0e30001f1fd72,16:38:33,03/04/2024
2873.800000190735,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,delaylearn,survey,html-keyboard-response,46,364165,0.0-45.0-1.0,,,,5996f25a05a0e30001f1fd72,16:38:33,03/04/2024
4440.400000095367,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,delaylearn,survey,lmdlab-rest-trial-limit,47,369117,0.0-45.0-2.0,0.0,,,5996f25a05a0e30001f1fd72,16:38:33,03/04/2024
3943.0,,"{""Q0"":""Difficult""}",FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,delaylearn,survey,lmdlab-evan-quiz,48,374324,0.0-45.0-3.0,,[3],memory,5996f25a05a0e30001f1fd72,16:38:33,03/04/2024
2815.0,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.7074074074074074,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,delaylearn,survey,lmdlab-html-vas-response,49,378156,0.0-45.0-4.0,,,engagement1,5996f25a05a0e30001f1fd72,16:38:33,03/04/2024
4463.0,,"{""Q0"":""Yes""}",FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,delaylearn,survey,lmdlab-evan-quiz,50,383903,0.0-45.0-5.0,,[0],engagement2,5996f25a05a0e30001f1fd72,16:38:33,03/04/2024
24877.900000095367,,"{'Q0': ""I didn't have any instances""}",FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,delaylearn,survey,lmdlab-survey-text,51,409533,0.0-45.0-6.0,,,engagement3,5996f25a05a0e30001f1fd72,16:38:33,03/04/2024
8493.0,,"{""Q0"":""Same room + Same computer""}",FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,delaylearn,survey,lmdlab-evan-quiz,52,419298,0.0-45.0-7.0,,[0],environment1,5996f25a05a0e30001f1fd72,16:38:33,03/04/2024
18655.699999809265,,"{'Q0': ""It was an enjoyable task, I don't think anything is needed to be improved.""}",FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,delaylearn,survey,lmdlab-survey-text,53,438713,0.0-45.0-8.0,,,comment1,5996f25a05a0e30001f1fd72,16:38:33,03/04/2024
2338.0,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,delaylearn,survey,html-keyboard-response,209,890188,0.0-47.0-0.0,,,,5996f25a05a0e30001f1fd72,16:38:33,03/04/2024
4210.0,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.22225115740740742,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,delaylearn,survey,lmdlab-html-vas-response,210,895931,0.0-47.0-1.0,,,state_stress,5996f25a05a0e30001f1fd72,16:38:33,03/04/2024
4123.0,,"{""Q0"":""Good""}",FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,delaylearn,survey,lmdlab-evan-quiz,211,901324,0.0-47.0-2.0,,[1],sleep1,5996f25a05a0e30001f1fd72,16:38:33,03/04/2024
3241.0,,"{""Q0"":""More sleep""}",FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,delaylearn,survey,lmdlab-evan-quiz,212,905319,0.0-47.0-3.0,,[1],sleep2,5996f25a05a0e30001f1fd72,16:38:33,03/04/2024
2491.0,,"{""Q0"":""Good""}",FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,FPd4nV8FaGXjsqVVAtv1Y6FyzxA3,delaylearn,survey,lmdlab-evan-quiz,213,908571,0.0-47.0-4.0,,[1],sleep3,5996f25a05a0e30001f1fd72,16:38:33,03/04/2024
